S.No.,Idioms,Hindi Meaning,English Meaning,
1.,A hard nut to crack,xaHkhj leL;k,A difficult problem,
2.,A thorn in the flesh,dke esa ges’kk gksus okyh ck/kk,A constant source of annoyance,
3.,At one’s beck and call,fu;a=.k esa gksuk] vkKk esa gksuk,Under one’s control,
4.,An acid test,xaHkhj ijh{k.k,A critical test,
5.,All eye for an eye,tSls dks rSlk,Tit for tat,
6.,At once,"rqjar] ,d gh le; esa","At the same time, promptly, instant",
7.,At home,vkjke nk;d fLFkfr esa gksuk,Comfortable,
8.,All in all,lcls egRoiw.kZ,Most important,
9.,Achilles’ heels,detksj i{k] nq[krh jx,A small but fatal weakness,
10.,Add fuel to fire,vkx esa ?kh Mkyuk,To make a matter worse,
11.,An arm chair job,"vklku ,oa vǔNh vk; okyh ukSdjh",Good income job with high comfort,
12.,An axe to grind,LokFkZ ls Hkjk mÌs’;,Something done for selfish reasons,
13.,An iron will,n`<+ bǔNk ’kfDr,Strong will power,
14.,An old flame,iqjkuk I;kj,"A person, one had a romantic relationship with, in the past.",
15.,An old head on young shoulders,viuh mez ls T;knk le>nkj gksuk,A child or young person who thinks and talks like an older and experienced person,
16.,An olive branch,’kakfr fuosnu,Peace request/peace treaty,
17.,Apple of discord,>xM+s dk dkj.k,Matter of dispute,
18.,Apple of one’s eye,nqykjk] I;kjk,Very lovable/dearest one,
19.,Apple pie order,fcYdqy Bhd gkyr esa,In good condition,
20.,At a lose,fu.kZ; u ys ikuk,To be unable to decide,
21.,At a pinch,leL;k esa gksuk,In a trouble,
22.,At arm’s length,nwj j[kuk ¼nksLrh u j[kuk½,Avoid becoming too friendly,
23.,At daggers (dVkj) drawn,dV~Vj nq’euh gksuk,To have bitter enmity,
24.,At ease,fpUrk jfgr,Free from pain and anxiety,
25.,At one’s finger ends,Ikw.kZ tkudkjh gksuk,"To have complete knowledge, to be expert in",
26.,At one’s wits (cqf)) ends,ǔfdr,Puzzled/confused/perplexed,
27.,At sixes and sevens,vLr&O;Lr,In disorder,
28.,At stake (nk¡o),nko ij,At risk or insecure,
29.,At the eleventh hour,vfUre le; esa,At last moment,
30.,A man of straw  (fctw[kk] lw[kh ?kkl),ekewyh ;k vHkkoxzLr vkneh,A  man  with  no  voice  or  will  of  his  own/ (a man of no substance,
31.,A black sheep,v’kqHk O;fä,"An unlucky person, Bad characters",
32.,At a snail’s (?kksa?kk)  pace,/kheh xfr ls,Very slowly,
33.,At  logger (vucu] ydM+gkjk) heads,’k=qrk dh fLFkfr,"In dispute, to fight",
34.,All at sea,iw.kZ:is.k Hkzfer,Completely confused,
35.,A white elephant,egWxk ysfdu csdkj,An expensive but useless possession,
36.,Axe out,ckgj djuk,To turn out,
37.,Bring to light,fn[kkuk] mtkxj djuk,Disclose,
38.,Bread and butter,HkkSfrd HkykbZ,Material welfare,
39.,By and by,/khjs&2,Slowly,
40.,Back stair gossip,ukSdjks ds chp dk xi’ki,Talk among servants/unfair talk,
41.,Back and forth,vkxs &ihNs,Backward and forward,
42.,Bad blood,’k=qrk,"Enmity/ bitter relation, Ill feelings",
43.,Bag and baggage,Ckksfj;k &foLrj lesr,With all belongings,
44.,Baker’s dozen,Lak[;k esa rsjg,Thirteen in number,
45.,Be born with a silver spoon in one’s mouth,/kuh ifjokj esa iSnk gksuk,To be born in a rich family,
